epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,633.431,1.46336,1.04699,1.4955,0.9502,0.90909,0.94969,0.54948,1.47202,1.25835,1.58657,0.021485,0.000484981,0.000484981
41,642.926,1.16714,0.72053,1.23284,0.91027,0.92261,0.93825,0.59769,1.30401,1.24003,1.40074,0.0194892,0.00048924,0.00048924
42,653.386,1.09218,0.80193,1.18756,0.86989,0.91177,0.93002,0.60824,1.22019,1.18431,1.40689,0.0174931,0.000493103,0.000493103
43,675.794,1.52806,1.19339,1.87391,0.86989,0.91177,0.93002,0.60824,1.22019,1.18431,1.40689,0.0154966,0.00049657,0.00049657
44,691.008,1.17841,0.91474,1.51249,0.86077,0.90909,0.91682,0.60402,1.21882,1.18278,1.39277,0.0134996,0.000499641,0.000499641
45,705.409,1.2298,0.86258,1.67002,0.86077,0.90909,0.91682,0.60402,1.21882,1.18278,1.39277,0.0115023,0.000502316,0.000502316
46,729.437,1.32146,0.96376,1.53075,0.82385,0.90909,0.92394,0.64223,1.19046,1.16803,1.31718,0.0095046,0.000504595,0.000504595
47,763.856,1.19105,0.94687,1.51456,0.82385,0.90909,0.92394,0.64223,1.19046,1.16803,1.31718,0.00750648,0.000506478,0.000506478
48,779.335,1.28598,0.97376,1.36777,0.87558,0.90909,0.95596,0.6234,1.23127,1.11077,1.31449,0.00550797,0.000507965,0.000507965
49,794.402,1.23528,0.83709,1.26873,0.87558,0.90909,0.95596,0.6234,1.23127,1.11077,1.31449,0.00350906,0.000509056,0.000509056
50,805.031,1.3826,0.98786,1.58015,0.95424,0.94823,0.97657,0.6347,1.19874,0.98133,1.29114,0.00150975,0.000509751,0.000509751
51,832.707,1.23789,0.91503,1.66143,0.95424,0.94823,0.97657,0.6347,1.19874,0.98133,1.29114,0.000505,0.000505,0.000505
52,843.921,1.14831,0.75924,1.25556,0.98134,1,0.995,0.70187,1.09654,0.87036,1.25138,0.0004951,0.0004951,0.0004951
53,861.946,1.2172,0.87002,1.51586,0.98134,1,0.995,0.70187,1.09654,0.87036,1.25138,0.0004852,0.0004852,0.0004852
54,871.511,1.03949,0.80637,1.31911,0.9896,1,0.995,0.72251,1.04092,0.82138,1.21987,0.0004753,0.0004753,0.0004753
55,884.68,1.09416,0.74407,1.41187,0.9896,1,0.995,0.72251,1.04092,0.82138,1.21987,0.0004654,0.0004654,0.0004654
56,893.514,1.17789,0.74364,1.32861,0.99784,1,0.995,0.70011,1.00628,0.80049,1.16935,0.0004555,0.0004555,0.0004555
57,902.261,1.04257,0.77978,1.29191,0.99784,1,0.995,0.70011,1.00628,0.80049,1.16935,0.0004456,0.0004456,0.0004456
58,926.228,1.34358,0.93696,1.37624,1,0.99898,0.995,0.6911,1.03438,0.78813,1.15534,0.0004357,0.0004357,0.0004357
59,940.479,0.95336,0.72059,1.1806,1,0.99898,0.995,0.6911,1.03438,0.78813,1.15534,0.0004258,0.0004258,0.0004258
60,963.64,0.96754,0.80027,1.26854,1,0.99542,0.995,0.68596,1.15755,0.80228,1.22954,0.0004159,0.0004159,0.0004159
61,978.042,0.85934,0.69175,1.1919,1,0.99542,0.995,0.68596,1.15755,0.80228,1.22954,0.000406,0.000406,0.000406
62,988.684,0.97605,0.65673,1.16873,0.99067,1,0.995,0.66736,1.2159,0.8633,1.28304,0.0003961,0.0003961,0.0003961
63,997.946,1.05492,0.83334,1.26237,0.99067,1,0.995,0.66736,1.2159,0.8633,1.28304,0.0003862,0.0003862,0.0003862
64,1012.08,1.00548,0.81908,1.29919,0.99196,1,0.995,0.69465,1.11164,0.95441,1.20854,0.0003763,0.0003763,0.0003763
65,1029.03,0.99272,0.75819,1.3281,0.99196,1,0.995,0.69465,1.11164,0.95441,1.20854,0.0003664,0.0003664,0.0003664
